Program,Year,ResponsiveRev,TwoStars,ThreeStars,FourStars,FiveStars,srs,lagged_srs,stateunemp,stadium_cap,stadium_years_open,stadium_years_rennovation,num_homegames,coach_experience,conf_coy,nat_coy,coach_years_at_school,new_coach,pop/d1prog,hs_grad_pct,pro_team_per_million,spring_practice,num_jcs,power
Oklahoma,2013,49877161,4,49,40,3,13.19,14.32,5.28,82112,88,10,6,14,1,1,14,0,1283280,87.79,0.259751055,1,1,1
Oklahoma,2014,68583981,8,50,32,4,10.21,13.19,4.51,82112,89,11,6,15,1,1,15,0,1291669.333,88.17,0.258063983,1,1,1
Oklahoma State,2010,23677767,16,68,20,0,16.62,8.01,6.78,60218,91,1,7,5,1,1,5,0,1253176.333,88.86,0.265990766,1,1,1
Oklahoma State,2011,23518495,16,73,18,0,24.14,16.62,5.88,60218,92,2,6,6,1,1,6,0,1261744,87.9,0.2641846,1,1,1
Oklahoma State,2012,25289531,15,73,15,0,13.5,24.14,5.27,60218,93,3,7,7,1,1,7,0,1271766,88.18,0.262102724,1,1,1
Oklahoma State,2013,23870744,11,77,13,0,16.83,13.5,5.28,60218,94,4,6,8,1,1,8,0,1283280,87.79,0.259751055,1,1,1
Oklahoma State,2014,55865368,18,72,12,0,1.1,16.83,4.51,60218,95,5,7,9,1,1,9,0,1291669.333,88.17,0.258063983,1,1,1
Oregon,2010,15405992,20,46,34,1,21.54,15.48,10.61,54000,43,8,6,1,1,1,1,0,1918536.5,91.04,0.260615318,0,0,1
Oregon,2011,16775791,15,46,31,3,18.8,21.54,9.5,54000,44,9,7,2,1,1,2,0,1932922.5,90,0.258675658,0,0,1
Oregon,2012,35997093,12,46,33,3,23.43,18.8,8.83,54000,45,10,7,3,1,1,3,0,1946960,90.32,0.256810618,0,0,1
Oregon,2013,43831556,10,37,36,4,21.27,23.43,7.88,54000,46,11,7,0,0,0,0,1,1959832,90.04,0.255123909,0,0,1
Oregon,2014,151379853,8,42,31,3,22.22,21.27,6.78,54000,47,12,7,1,0,0,1,0,1980336.5,90.05,0.252482343,0,0,1
Oregon State,2010,8701829,37,51,7,1,7.6,8.47,10.61,45674,57,3,6,9,1,0,10,0,1918536.5,91.04,0.260615318,0,0,1
Oregon State,2011,10683703,30,50,6,1,-4.33,7.6,9.5,45674,58,4,6,10,1,0,11,0,1932922.5,90,0.258675658,0,0,1
Oregon State,2012,9160696,28,56,8,0,12.14,-4.33,8.83,45674,59,5,7,11,1,0,12,0,1946960,90.32,0.256810618,0,0,1
Oregon State,2013,11018750,21,64,8,0,8.11,12.14,7.88,45674,60,6,6,12,1,0,13,0,1959832,90.04,0.255123909,0,0,1
Oregon State,2014,19408744,27,71,4,0,-1.42,8.11,6.78,45674,61,7,7,13,1,0,14,0,1980336.5,90.05,0.252482343,0,0,1
Penn State,2013,38103686,15,33,21,1,3.4,9.7,7.34,107282,53,12,7,1,1,0,1,0,4259483.333,91.43,0.547797268,0,1,1
Purdue,2010,14853729,42,42,4,0,-5.18,0.79,10.34,62500,86,8,7,1,0,0,1,0,1622507.25,88.59,0.308165033,0,0,1
Purdue,2011,13843734,39,42,3,0,-0.76,-5.18,9.11,62500,87,9,7,2,0,0,2,0,1628839.5,89,0.306967015,0,0,1
Purdue,2012,13898929,26,54,4,0,-1.58,-0.76,8.35,62500,88,10,7,3,0,0,3,0,1633916.25,89.24,0.306013237,0,0,1
Purdue,2013,14802145,23,61,4,0,-12.43,-1.58,7.63,62500,89,11,7,2,1,0,0,1,1641871,89.21,0.304530624,0,0,1
Purdue,2014,25379833,23,56,4,0,-6.33,-12.43,5.96,62500,90,12,7,3,1,0,1,0,1648295.5,89.73,0.303343666,0,0,1
Rutgers,2010,17384712,27,51,12,0,-6.76,6.34,9.53,52454,16,1,7,9,1,1,9,0,8803708,92.03,0.340765505,0,0,1
Rutgers,2011,12744923,27,51,13,0,6.42,-6.76,9.34,52454,17,2,7,10,1,1,10,0,8844694,90.4,0.339186409,0,0,1
Rutgers,2012,14335405,18,57,14,1,3.91,6.42,9.33,52454,18,3,6,0,1,0,0,1,8882095,90.52,0.337758153,0,0,1
Rutgers,2013,11992796,19,58,11,1,-5.68,3.91,8.24,52454,19,4,7,1,1,0,1,0,8913735,90.68,0.336559254,0,0,1
Rutgers,2014,23737532,22,59,9,1,3.19,-5.68,6.74,52454,20,5,6,2,1,0,2,0,8943010,91.02,0.335457525,0,0,1
South Carolina,2010,40098030,16,49,39,2,12.97,7.1,11.13,80250,76,2,7,20,1,0,5,0,2317917,88.95,0,1,0,1
South Carolina,2011,29295623,13,61,31,2,13.56,12.97,10.54,80250,77,3,7,21,1,0,6,0,2336372,86.6,0,1,0,1
South Carolina,2012,29292269,12,62,33,2,16.06,15.97,7.62,80250,78,0,7,23,1,0,7,0,2359504.5,87.31,0,1,0,1
South Carolina,2014,51777241,2,64,32,1,6.7,16.06,6.45,80250,80,2,7,24,1,0,9,0,2382931,87.55,0,1,0,1
South Florida,2010,10264873,41,49,9,1,2.15,3.64,11.03,41441,12,12,7,5,0,0,0,1,2412379,87.8,0,1,0,1
South Florida,2011,9561813,29,54,10,0,3.21,2.15,9.99,65857,13,13,7,6,0,0,1,0,2728195.571,87.7,0.471269105,1,1,1
South Florida,2012,10518546,18,61,10,0,-6.13,3.21,8.48,41441,14,14,6,7,0,0,2,0,2763046.714,88.25,0.465324846,1,1,1
South Florida,2013,9847372,18,60,7,0,-13.56,-6.13,7.23,65857,15,15,7,3,0,0,0,1,2797846.714,88.34,0.459537072,1,1,0
South Florida,2014,10601980,17,69,7,0,-10.9,-13.56,6.27,65857,16,16,7,4,0,0,1,0,2842535.286,88.67,0.452312516,1,1,0
Southern Mississippi,2010,2517489,47,57,9,1,1.79,-0.67,10.36,36000,78,2,6,2,0,0,3,0,742609.25,87.46,0,1,14,0
Southern Mississippi,2011,2319368,34,65,8,1,9.18,1.79,9.98,36000,79,3,6,3,0,0,4,0,744363,83.4,0,1,14,0
Southern Mississippi,2012,2433412,37,63,7,0,-18.04,9.18,9,36000,80,4,6,0,0,0,0,1,745740.75,85.03,0,1,14,0
Southern Mississippi,2013,3396779,48,55,3,0,-21.13,-18.04,8.53,36000,81,5,5,0,0,0,0,1,746930.25,84.95,0,1,14,0
Southern Mississippi,2014,5017891,68,36,1,0,-10.91,-21.13,7.5,36000,82,6,6,1,0,0,1,0,747144.5,85.11,0,1,14,0
Texas,2010,81842208,2,22,58,7,1.71,20.21,8.13,100119,86,5,7,25,1,1,12,0,2804627.556,86.67,0.316936517,1,6,1
Texas,2011,85413972,1,23,57,6,12.16,1.71,7.76,100119,87,0,6,26,1,1,13,0,2849380.444,82.5,0.311958654,1,6,1
Texas,2012,88972368,1,26,60,8,11.18,12.16,6.74,100119,88,1,6,27,1,1,14,0,2370757,82.62,0.306768145,1,6,1
Texas,2013,92469941,1,26,58,5,7.45,11.18,6.25,100119,89,2,6,28,1,1,15,0,2407207.182,83.13,0.30212303,1,6,1
Texas,2014,93424737,3,37,45,3,3.98,7.45,5.11,100119,90,3,6,4,1,0,0,1,2450403.273,83.37,0.296797158,1,6,1
Texas A&M,2010,34760197,11,58,24,1,11.39,3.37,8.13,83002,83,7,7,2,0,0,2,0,2804627.556,86.67,0.316936517,1,6,1
Texas A&M,2011,35855887,11,62,23,1,13.36,11.39,7.76,83002,84,8,7,3,0,0,3,0,2849380.444,82.5,0.311958654,1,6,1
Texas A&M,2012,40781187.5,8,60,22,2,20.05,13.36,6.74,82600,85,9,6,4,1,0,0,1,2370757,82.62,0.306768145,1,6,1
Texas A&M,2013,38437692,7,54,33,1,13.38,20.05,6.25,82589,86,10,8,5,1,0,1,0,2407207.182,83.13,0.30212303,1,6,1
Texas A&M,2014,48450499,6,48,34,4,9.96,13.38,5.11,106300,87,11,6,6,1,0,2,0,2450403.273,83.37,0.296797158,1,6,1
Texas Tech,2010,22156286,22,59,14,0,3.06,10.79,8.13,53774,63,0,6,14,1,1,0,1,2804627.556,86.67,0.316936517,1,6,1
Texas Tech,2011,22055754,15,61,20,0,1.88,3.06,7.76,53774,64,1,6,15,1,1,1,0,2849380.444,82.5,0.311958654,1,6,1
Texas Tech,2012,23040373,15,72,20,0,6.33,1.88,6.74,60454,65,2,6,16,1,1,2,0,2370757,82.62,0.306768145,1,6,1
Texas Tech,2013,21473758,20,69,16,0,5.32,6.33,6.25,60454,66,3,6,0,0,0,0,1,2407207.182,83.13,0.30212303,1,6,1
Texas Tech,2014,37985571,20,71,12,0,-3.56,5.32,5.11,60454,67,4,6,1,0,0,1,0,2450403.273,83.37,0.296797158,1,6,1
Toledo,2010,1663964,64,26,2,0,-3.7,-11.29,10.24,26248,73,20,6,1,0,0,1,0,1442410.25,91.98,0.519963027,0,1,0
Toledo,2011,1051270,64,27,3,0,6.84,-3.7,8.85,26248,74,21,6,2,0,0,2,0,1442916.5,90.7,0.519780597,0,1,0
Toledo,2012,1184475,63,30,3,0,-0.18,6.84,7.41,26248,75,22,6,0,0,0,0,1,1443371.125,91.01,0.51961688,0,1,0
Toledo,2013,1405443,60,37,2,0,-0.03,-0.18,7.43,26248,76,23,6,1,0,0,1,0,1445980.625,90.96,0.518679149,0,1,0
Toledo,2014,3591640,67,27,1,0,-1.79,-0.03,5.8,26244,77,24,6,2,0,0,2,0,1449217.625,91.02,0.517520617,0,1,0
Troy,2010,1522847,96,33,3,0,-4.1,2.73,10.54,30000,60,7,5,9,1,0,9,0,1196394.75,86.9,0,1,0,0
Troy,2011,1201820,89,31,2,0,-15.54,-4.1,9.62,30000,61,8,5,10,1,0,10,0,1199662.25,85.2,0,1,0,0
Troy,2012,1470592,84,28,2,0,-3.45,-15.54,7.98,30000,62,9,6,11,1,0,11,0,962789.2,86.33,0,1,0,0
Troy,2013,1424162,82,21,0,0,-5.33,-3.45,7.22,30000,63,10,5,12,1,0,12,0,965532,86.59,0,1,0,0
Troy,2014,2693459,70,13,0,0,-14.67,-5.33,6.77,30000,64,11,6,13,1,0,13,0,968007.4,86.86,0,1,0,0
UCLA,2010,11563645,5,38,40,1,0.62,3.8,12.23,91136,88,3,6,10,0,0,2,0,4665961.25,87.06,0.428636222,1,0,1
UCLA,2011,13138012,8,44,37,1,-1.05,0.62,11.71,91136,89,4,6,11,0,0,3,0,4709081.75,82,0.424711251,1,0,1
UCLA,2012,11022130,11,47,33,2,8.75,-1.05,10.38,91136,90,5,7,0,0,0,0,1,4752375.75,82.27,0.420842144,1,0,1
UCLA,2013,18409714,10,39,40,2,17.1,8.75,8.94,91136,91,0,6,1,0,0,1,0,4793422.875,82.41,0.417238381,1,0,1
UCLA,2014,27322623,8,37,41,1,14.4,17.1,7.5,91136,92,1,6,2,0,0,2,0,4837659.75,82.85,0.41342304,1,0,1
UNLV,2010,4598773,69,21,0,0,-11.86,-5.61,13.5,36800,39,11,6,0,0,0,0,1,1351398.5,87.26,0,0,0,0
UNLV,2011,5109045,71,21,0,0,-17.72,-11.86,13.02,36800,40,12,5,1,0,0,1,0,1359085,84.2,0,0,0,0
UNLV,2012,1512155,58,26,0,0,-14.57,-17.72,11.19,36800,41,13,7,2,0,0,2,0,1376205,85.21,0,0,0,0
UNLV,2013,3419430,66,20,0,0,-3.9,-14.57,9.63,36800,42,14,7,3,0,0,3,0,1393273.5,85.56,0,0,0,0
UNLV,2014,11200965,65,17,0,0,-16.18,-3.9,7.92,36800,43,15,6,4,0,0,4,0,1415865,85.09,0,0,0,0
Utah,2010,10808678,34,48,7,1,8.3,7.28,7.83,45017,12,12,6,6,1,1,5,0,925086.6667,92.28,0.3603266,0,1,0
Utah,2011,16206874,20,55,9,1,3.16,8.3,6.75,45017,13,13,6,7,1,1,6,0,938476.6667,90.6,0.355185531,0,1,1
Utah,2012,18054615,19,65,13,1,2.51,3.16,5.4,45634,14,14,6,8,1,1,7,0,951407.3333,91.22,0.350358171,0,1,1
Utah,2013,20079553,13,70,12,0,6.96,2.51,4.59,45634,15,15,7,9,1,1,8,0,966653.6667,91.76,0.344832224,0,1,1
Utah,2014,24510061,19,63,9,0,9.84,6.96,3.83,45634,16,16,6,10,1,1,9,0,979557,91.48,0.340289879,0,1,1
UTEP,2010,3713032,72,24,0,0,-8.13,-7.21,8.13,51500,47,4,6,20,1,1,6,0,2804627.556,86.67,0.316936517,1,6,0
UTEP,2011,3929796,74,20,0,0,-7.93,-8.13,7.76,51500,48,5,6,21,1,1,7,0,2849380.444,82.5,0.311958654,1,6,0
UTEP,2012,3226042,71,22,0,0,-9.29,-7.93,6.74,52000,49,6,6,22,1,1,8,0,2370757,82.62,0.306768145,1,6,0
UTEP,2013,3866978,73,16,0,0,-18.17,-9.29,6.25,52000,50,7,5,0,0,0,0,1,2407207.182,83.13,0.30212303,1,6,0
UTEP,2014,5504905,71,9,0,0,-3.18,-18.17,5.11,52000,51,8,6,1,0,0,1,0,2450403.273,83.37,0.296797158,1,6,0
Virginia,2010,14141593,30,41,14,0,-3.29,-3,7.13,61500,79,10,7,0,0,0,0,1,4012603,92.33,0.74764436,1,0,1
Virginia,2011,11424229,28,47,12,0,0.14,-3.29,6.59,61500,80,11,7,1,1,0,1,0,4053774,90.2,0.740051123,1,0,1
Virginia,2012,10689495,25,56,15,0,-3.84,0.14,6.06,61500,81,12,7,2,1,0,2,0,4094328,90.19,0.732720974,1,0,1
Virginia,2013,11720751.48,20,59,12,1,-4.94,-3.84,5.7,61500,82,13,8,3,1,0,3,0,4130844.5,90.54,0.72624375,1,0,1
Virginia,2014,37456423,21,54,13,3,4.83,-4.94,5.23,61500,83,14,7,4,1,0,4,0,2772300.667,90.42,0.721422472,1,0,1
Virginia Tech,2010,24307197,15,64,18,1,14.03,18.57,7.13,66233,45,4,8,22,1,1,23,0,4012603,92.33,0.74764436,1,0,1
Virginia Tech,2011,27171706,9,64,20,0,8.21,14.03,6.59,66233,46,5,6,23,1,1,24,0,4053774,90.2,0.740051123,1,0,1
Virginia Tech,2012,24405861.54,8,61,21,0,3.13,8.21,6.06,65115,47,0,6,24,1,1,25,0,4094328,90.19,0.732720974,1,0,1
Virginia Tech,2013,25659727,5,62,19,1,6.41,3.13,5.7,65632,48,0,6,25,1,1,26,0,4130844.5,90.54,0.72624375,1,0,1
Virginia Tech,2014,31425628,11,61,22,1,6.71,6.41,5.23,65632,49,1,7,26,1,1,27,0,2772300.667,90.42,0.721422472,1,0,1
Washington,2010,25655996,20,69,14,0,5.55,3.61,9.99,72500,90,23,6,0,0,0,1,1,3370693,91.24,0.296674897,0,0,1
Washington,2011,28382843,15,68,16,0,1.8,5.55,9.28,72500,91,24,7,1,0,0,2,0,3409577.5,91,0.293291471,0,0,1
Washington,2012,38745351,13,68,16,1,4.9,1.8,8.11,72500,92,25,6,2,0,0,3,0,3445449.5,91,0.290237892,0,0,1
Washington,2013,38152903,10,68,22,1,15.12,4.9,7.03,70000,93,0,7,3,0,0,4,0,3481705,90.64,0.287215603,0,0,1
Washington,2014,52609825,14,58,20,1,6.52,15.12,6.13,70138,94,1,7,8,1,1,0,1,3523465.5,90.87,0.283811492,0,0,1
Washington State,2010,4457807,57,46,1,0,-4.2,-14.87,9.99,37600,38,4,6,2,0,0,2,0,3370693,91.24,0.296674897,0,0,1
Washington State,2011,4445431,60,42,0,0,-5.61,-4.2,9.28,35117,39,5,6,3,0,0,3,0,3409577.5,91,0.293291471,0,0,1
Washington State,2012,6606127,49,50,2,0,-6.89,-5.61,8.11,37600,40,0,6,10,1,0,0,1,3445449.5,91,0.290237892,0,0,1
Washington State,2013,8433474,46,55,3,0,5.09,-6.89,7.03,32740,41,1,5,11,1,0,1,0,3481705,90.64,0.287215603,0,0,1
Washington State,2014,12525670,37,55,3,0,-1.54,5.09,6.13,32740,42,2,6,12,1,0,2,0,3523465.5,90.87,0.283811492,0,0,1
Western Kentucky,2010,909378,69,11,0,0,-15.37,-20.88,10.17,22113,42,2,5,0,0,0,0,1,2173974,90.51,0,1,0,0
Western Kentucky,2011,757713,67,21,0,0,-6.18,-15.37,9.38,22113,43,3,6,1,0,0,1,0,2184252.5,86.8,0,1,0,0
Western Kentucky,2012,851141,58,26,0,0,-1.5,-6.18,8.17,22113,44,4,6,2,0,0,2,0,2191836.5,87.33,0,1,0,0
Western Kentucky,2013,1698606,64,27,0,0,-0.52,-1.5,8.02,22113,45,5,5,8,1,0,0,1,2199560.5,87.11,0,1,0,0
Western Kentucky,2014,3311748,67,29,0,0,1.99,-0.52,6.46,22113,46,6,6,0,0,0,0,1,2205207.5,87.31,0,1,0,0
Western Michigan,2010,1509487,79,10,1,0,-4.1,-10.53,12.58,30200,71,7,6,5,1,0,5,0,1975346.2,91.2,0.4049923,0,0,0
Western Michigan,2011,1284719,73,14,1,0,0.42,-4.1,10.39,30200,72,8,5,6,1,0,6,0,1975239.8,90.9,0.405014115,0,0,0
Western Michigan,2012,1415354,74,17,0,0,-9.54,0.42,9.13,30200,73,9,6,7,1,0,7,0,1977322,91.04,0.404587619,0,0,0
Western Michigan,2013,1440258,69,17,0,0,-19.16,-9.54,8.78,30200,74,0,5,0,0,0,0,1,1979843.8,91.08,0.404072281,0,0,0
Western Michigan,2014,1562327,68,25,0,0,-1.79,-19.16,7.23,30200,75,0,5,1,1,0,1,0,1982935,91.41,0.403442372,0,0,0
Wisconsin,2010,25444662,21,56,11,1,14.02,8.19,8.64,80321,93,6,7,4,1,0,5,0,5690403,93.3,0.527203434,0,0,1
Wisconsin,2011,27674566,19,61,11,0,15.89,14.02,7.76,80321,94,7,7,5,1,0,6,0,5705812,92.3,0.525779679,0,0,1
Wisconsin,2012,30873263,12,54,11,0,9.77,15.89,7.03,80321,95,8,7,6,1,0,7,0,5721075,92.64,0.524376975,0,0,1
Wisconsin,2013,32477746,11,55,9,0,14.2,9.77,6.7,80321,96,9,7,4,1,0,0,1,5736673,92.5,0.522951195,0,0,1
Wisconsin,2014,58553233,15,49,13,0,12.7,14.2,5.42,80321,97,10,7,5,1,0,1,0,5751272,92.66,0.521623738,0,0,1
Wyoming,2010,2869567,70,19,0,0,-9.31,-4.53,6.45,30514,60,0,6,0,0,0,1,0,564376,91.66,0,0,0,0
Wyoming,2011,2704480,72,21,0,0,-3.82,-9.31,5.79,29181,61,1,6,1,1,0,2,0,567602,92.9,0,0,0,0
Wyoming,2012,4142641,68,22,0,0,-10.78,-3.82,5.31,30514,62,2,6,2,1,0,3,0,576608,93.12,0,0,0,0
Wyoming,2013,2460601,68,20,0,0,-9.36,-10.78,4.72,29181,63,3,6,3,1,0,4,0,582341,94.86,0,0,0,0
Wyoming,2014,7314235,75,14,0,0,-6.69,-9.36,4.13,29181,64,4,6,0,0,0,0,1,583334,93.22,0,0,0,0