,"Percent Estimate, High School Graduate (or Equivalency) or Higher","90% Margin of Error (+/-), Percent High School Graduate (or Equivalency) or Higher","Population Estimate, High School Graduate (or Equivalency) or Higher","90% Margin of Error (+/-), High School Graduate (or Equivalency) or Higher","Population Estimate, Total","90% Margin of Error (+/-), Total Population","Population Estimate, Less than High School","90% Margin of Error (+/-), Less than High School","Population Estimate, Just High School Graduate (or Equivalency)","90% Margin of Error (+/-), Population Just High School Graduate (or Equivalency)","Population Estimate, Some College but no Degree","90% Margin of Error (+/-), Population Some College but no Degree","Population Estimate, Just Associates Degree","90% Margin of Error (+/-), Population Just Associates Degree","Population Estimate, Just Bachelors Degree","90% Margin of Error (+/-), Population Just Bachelors Degree","Population Estimate, Graduate or Professional Degree","90% Margin of Error (+/-), Population Graduate or Professional Degree"
Alabama,86.9,1.86,542689,12655.16025,624472,5708.497964,81783,4812.941928,167756,7116.483682,161413,7214.533803,52390,3685.936652,115608,5702.960722,45522,3368.880081
Alaska,92.89,3.58,110327,4653.582813,118778,2041.623129,8451,1395.341177,32830,2159.229492,33358,2541.616021,10471,1975.830964,25566,2159.56014,8102,1402.191499
Arizona,86.96,1.57,795472,14620.65166,914761,3167.242649,119289,5879.719126,220738,8221.526014,250358,8224.922188,83329,4742.671926,174442,6364.369725,66605,3939.857992
Arkansas,88.64,1.94,341615,8738.815538,385391,5081.086596,43776,3497.045324,115275,4681.457038,102114,5065.257743,31193,2851.977735,65084,3582.314615,27949,2797.725147
California,87.06,0.6,5078189,35137.54933,5832712,6067.592933,754523,14855.3863,1269163,16473.62817,1379283,18757.93019,444583,11008.94564,1406433,17957.1172,578727,12951.91341
Colorado,92.11,1.52,761849,13127.90966,827137,3960.675952,65288,4304.889197,172952,7184.569159,192217,6562.854409,71753,4243.821156,236299,6301.549175,88628,4464.6814
Connecticut,92.21,2.16,408304,9837.2302,442776,2455.03666,34472,3459.244137,101898,4401.942867,83000,5286.310244,29702,2848.632303,125143,4963.56374,68561,4086.226866
Delaware,87.99,3.99,109417,5173.951971,124348,1645.718384,14931,2042.376312,30484,2811.21255,29310,2482.737199,8747,1640.249981,26841,2557.950938,14035,1862.61805
Florida,89.69,1.06,2326010,28659.90476,2593253,8730.074971,267243,11138.95785,705320,16356.51069,566296,14228.85027,300463,10564.34518,549159,13110.47692,204772,8240.420196
Georgia,87.43,1.31,1209458,19413.79965,1383268,8154.53984,173810,7573.121285,343917,11136.13331,329865,10409.66291,110137,5519.687038,298116,8780.246523,127423,6079.588473
Hawaii,95.32,2.99,206271,6672.674651,216396,1693.387434,10125,1554.615708,58823,3766.429078,56173,3299.01455,23252,2557.350191,50267,2937.362763,17756,2070.498008
Idaho,90.33,2.87,195842,6952.704582,216810,3448.400499,20968,2645.425297,56941,3799.299541,60756,3741.784735,23706,2458.319751,40854,3199.213966,13585,1904.249196
Illinois,91.42,1.05,1621054,19100.41539,1773212,4667.306397,152158,6760.908741,380207,9192.842705,380944,10209.27681,150757,5909.949069,490845,9812.171421,218301,6699.400869
Indiana,88.59,1.49,745968,13221.7368,842022,4817.588608,96054,5205.089721,223011,7396.385739,198559,7095.935809,76976,4360.236003,178574,5916.329014,68848,3967.479048
Iowa,93.18,1.94,365952,8509.581247,392752,4029.081533,26800,2846.298298,88288,3738.389092,89915,4926.833161,56106,3390.637108,98576,3933.073226,33067,2682.95546
Kansas,90,2.1,346055,8794.626314,384499,3902.436418,38444,3360.355636,79784,4410.725564,88389,4878.26547,40977,2980.694047,98370,4180.492794,38535,2780.723107
Kentucky,90.51,1.75,508192,10417.12158,561502,3823.868722,53310,3778.929478,158172,5940.38391,143146,5699.84298,52632,3533.45341,104436,4339.844813,49806,3069.284118
Louisiana,87,1.61,583410,12073.56153,670600,6257.276165,87190,5060.195056,191988,7123.478083,160823,6148.919336,53132,4414.636225,130464,5112.135073,47003,3405.113948
Maine,93.06,3.64,141424,5815.269985,151964,1912.657314,10540,2064.975787,41749,3012.161516,34342,3284.529799,15786,1893.934001,37661,2837.582246,11886,1522.252607
Maryland,90.57,1.56,755441,13334.61829,834133,3220.959019,78692,4783.123456,187399,6682.277232,175712,6814.462341,55067,3767.908306,212101,6650.347435,125162,5319.59256
Massachusetts,93.56,1.5,881127,14365.2536,941776,2852.503812,60649,4172.900071,187629,6903.572481,155348,7264.229209,58953,4021.300287,297511,7695.33534,181686,5526.583936
Michigan,91.2,1.19,1114078,14971.43106,1221558,4171.208458,107480,5078.109688,285772,7923.057617,320183,8350.612552,122272,4647.174195,274364,7118.440841,111487,4400.880366
Minnesota,93.38,1.43,696370,11091.40469,745711,3195.713379,49341,3078.785637,137987,4987.775155,153378,5106.21347,101407,4642.654413,223789,6202.153175,79809,3470.878419
Mississippi,87.46,2.2,327020,9998.086717,373921,6498.079486,46901,3985.311155,106425,5557.116608,91327,5514.394346,42848,3685.547585,62442,4266.742317,23978,2623.603819
Missouri,91.19,1.56,726046,13321.76587,796209,5259.56367,70163,4153.655258,197424,6365.540433,194182,7083.033602,74443,4547.822006,178293,6740.137832,81704,4546.188843
Montana,93.85,3.89,120750,5306.356283,128657,1894.329697,7907,1323.120176,37484,2768.452456,29667,2559.847261,11245,1546.931156,31792,2903.108851,10562,1766.135046
Nebraska,92.02,2.26,232501,6259.452931,252652,2802.144357,20151,2222.568559,52760,3239.582998,60465,3370.69251,31574,2156.252768,62368,2878.777692,25334,2094.635529
Nevada,87.26,2.19,359446,9206.218333,411910,2021.826155,52464,3865.580163,117786,5070.034517,119443,5244.09916,33641,2937.924608,67353,4257.671194,21223,2188.484636
New Hampshire,94.77,3.56,147196,5771.752767,155315,1742.155274,8119,1595.907892,38970,3034.419384,30497,2856.152832,14452,1946.925011,45174,2953.284612,18103,1853.486714
New Jersey,92.03,1.35,1060132,15810.54569,1151980,2819.980851,91848,5360.960268,268713,8701.779186,209438,8222.469216,78985,4479.094663,344430,7404.865968,158566,5634.630866
New Mexico,84.88,2.63,231232,7635.270264,272426,3109.171755,41194,3553.614076,68566,4000.905523,75442,4415.088787,28131,2876.102397,37565,3024.305705,21528,2319.204174
New York,89.81,0.88,2582494,25637.20753,2875580,4493.702816,293086,10181.16153,583868,11860.62094,492847,12213.98923,238006,8752.175158,834676,13257.38756,433097,10726.21336
North Carolina,88.06,1.22,1143191,17437.38945,1298130,8207.702358,154939,6567.302719,293076,9429.951962,312899,8743.437882,120814,6489.807547,295317,8079.240373,121085,5594.562003
North Dakota,94.83,3.86,108196,5014.216489,114100,2523.458143,5904,1264.079507,27277,2466.292764,23613,2767.416304,16660,1868.240884,31729,2412.816819,8917,1445.39441
Ohio,91.98,1.02,1367228,15885.23226,1486363,4957.673043,119135,5618.924185,391017,8057.181889,351851,8548.769853,147979,5868.645244,330763,7237.162151,145618,5246.279158
Oklahoma,88.86,1.61,476266,9205.071483,535955,3533.60793,59689,3389.818137,158973,5271.740604,137489,4787.821321,43908,2920.746822,103451,4158.135159,32445,2863.216548
Oregon,91.04,1.96,503719,11341.3277,553310,3664.288744,49591,4012.545825,121899,5917.527355,146107,6437.864553,45830,3419.8171,132830,5328.197162,57053,3475.291355
Pennsylvania,92.09,1.01,1518212,17225.56234,1648641,4470.045414,130429,5741.570952,442305,8579.508436,298076,8446.42232,153958,5757.333845,424846,8752.073697,199027,6482.614904
Rhode Island,91.06,4.22,130237,6250.480142,143020,1768.803268,12783,2055.08029,34617,3339.051961,32973,3455.307801,10768,1803.294762,35371,3066.618007,16508,1823.20158
South Carolina,88.95,1.66,561787,11803.54116,631579,6157.672937,69792,4534.222535,164386,5976.387705,152770,6447.896169,60143,3958.339551,130138,5550.906593,54350,3943.347943
South Dakota,91.97,3.41,102933,4288.409379,111923,2133.477209,8990,1366.139451,28760,2223.643856,23728,2155.993043,15411,1616.233894,27160,2032.979341,7874,1432.599037
Tennessee,89.79,1.49,777408,13665.53362,865801,4902.02499,88393,5204.696533,253867,7896.764211,200094,6903.08489,59123,4573.314772,184026,6094.555357,80298,4321.635107
Texas,86.67,0.79,3447694,32833.57229,3977864,10270.60553,530170,13656.76993,1012112,16991.91367,980973,18832.17335,283712,9936.534456,852300,15057.749,318597,10449.7399
Utah,92.28,1.93,406490,9059.987859,440506,3372.57839,34016,3403.633647,107089,4981.319604,113675,5386.062105,47696,2973.969738,107626,3720.144218,30404,2361.398103
Vermont,91.56,4.55,64762,3388.814542,70733,1169.64952,5971,1154.129109,18679,1812.614686,13721,1754.332922,4844,901.6834256,20646,1778.427676,6872,1070.03271
Virginia,92.33,1.27,1082827,16060.15333,1172805,6559.124942,89978,5533.240371,255506,7611.151358,267440,8513.326318,95411,5277.025109,305837,8532.920954,158633,5183.091838
Washington,91.24,1.38,958369,15117.72721,1050364,4565.144686,91995,5279.756528,236086,7412.42693,248688,7840.934256,99983,4507.177054,262496,7331.674434,111116,6168.732285
West Virginia,90.66,2.93,197532,6822.72255,217874,2652.709558,20342,2427.812596,72249,3719.691519,50181,3887.560289,18046,1865.201866,38051,3168.418691,19005,2020.509342
Wisconsin,93.3,1.48,676867,11120.16911,725456,3155.608499,48589,3513.437491,173347,5303.783555,170394,6309.531361,89551,4026.864413,185663,5470.116087,57912,3095.165262
Wyoming,91.66,4.13,75566,4292.494729,82440,2849.975614,6874,1641.293392,21032,2267.132991,21905,2301.266173,10648,1666.280289,16392,1915.247504,5589,1243.032582
Nation,89.7,0.23,39374773,105951.3921,43897832,30828.2982,4523059,37644.7236,10541953,51127.54185,10007806,59755.20993,3854506,35318.77547,10461921,50663.8545,4508587,35024.91675